                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4379,                  1.514,                 1.2143,                0.76911,                0.51706,                0.55722,                0.33762,                 1.1631,                0.91341,                 1.1292,             0.00047188,             0.00047188,             0.00047188
                      1,                  1.243,                0.91874,                 1.0824,                0.61713,                0.58842,                0.59233,                0.36218,                 1.1644,                0.99062,                 1.1463,             0.00093883,             0.00093883,             0.00093883
                      2,                 1.2544,                0.93937,                 1.1079,                0.57306,                0.51749,                0.46942,                0.29059,                  1.284,                 1.8176,                 1.2589,              0.0013963,              0.0013963,              0.0013963
                      3,                 1.2446,                0.88717,                 1.0907,                0.85037,                0.59893,                 0.7059,                0.45406,                 1.0778,                0.71692,                 1.0989,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.2342,                0.85201,                 1.0813,                0.80143,                0.63272,                0.70493,                 0.4439,                 1.0952,                0.80641,                 1.0866,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1964,                0.80442,                 1.0659,                0.76165,                 0.6573,                0.71356,                0.46082,                 1.1257,                0.75843,                  1.124,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2082,                0.80359,                  1.073,                0.80441,                0.66036,                0.74135,                0.49524,                 1.0099,                0.62338,                 1.0553,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1561,                0.73138,                 1.0409,                0.81412,                 0.7247,                0.80176,                0.53082,                 1.0063,                0.60466,                 1.0504,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.1322,                0.71554,                 1.0357,                0.76415,                0.65092,                0.71207,                0.47166,                 1.0414,                0.68006,                 1.0596,                0.00133,                0.00133,                0.00133
                      9,                 1.1388,                0.72006,                 1.0514,                0.82253,                0.65546,                0.75469,                0.48014,                 1.0866,                0.70668,                 1.0959,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1135,                0.70433,                 1.0314,                0.86515,                0.70801,                0.80129,                0.53212,                 1.0105,                0.60547,                 1.0366,              0.0013017,              0.0013017,              0.0013017
